Distance,Time,Max_threshold
2817.70842744024,0.0,1
2753.325456609413,0.010141134262084961,2
2442.325439272391,0.017369747161865234,3
2513.230040614205,0.01715254783630371,4
2232.018153072414,0.024004459381103516,5
1884.6955331099452,0.024669170379638672,6
2058.1640355179143,0.0239412784576416,7
2205.634592479625,0.02101302146911621,8
1783.6069717542782,0.03309774398803711,9
2102.6311778423938,0.023239850997924805,10
1583.585442498578,0.04326033592224121,11
1551.2310937036264,0.029774188995361328,12
2231.4041681461285,0.021000385284423828,13
1772.5192167826408,0.03423023223876953,14
1452.0654717114853,0.05081748962402344,15
1710.8321598423136,0.04865765571594238,16
1437.4897768445871,0.053740501403808594,17
1675.9939700969505,0.04662752151489258,18
1718.1574870146028,0.03523898124694824,19
1610.8651547759355,0.052609920501708984,20
1866.505028759746,0.04059743881225586,21
1736.156754596387,0.0461888313293457,22
1565.2029550343182,0.05011391639709473,23
1480.6156088433409,0.04597282409667969,24
1412.496052529317,0.062375545501708984,25
1489.6863113039763,0.05879569053649902,26
1400.2421939012688,0.0889739990234375,27
1649.532496782658,0.04051351547241211,28
1243.891816142778,0.08112049102783203,29
1467.9928397577494,0.05116915702819824,30
1410.380438367897,0.07152915000915527,31
1383.492719856882,0.04886770248413086,32
1354.863223786516,0.07242703437805176,33
1469.970080033676,0.04900002479553223,34
1399.4122639729253,0.08554720878601074,35
1539.0735644723243,0.07120370864868164,36
1493.7772525583434,0.047493696212768555,37
1440.4437279366448,0.08002424240112305,38
1273.3784946969688,0.07018327713012695,39
1473.7178276484833,0.07122683525085449,40
1427.3849328201754,0.07181334495544434,41
1216.4769077373032,0.08013534545898438,42
1384.297757232021,0.06916379928588867,43
1273.2386044121372,0.09000086784362793,44
1202.3374123932144,0.10156917572021484,45
1324.0104242542889,0.07349824905395508,46
1573.801442327116,0.07985854148864746,47
1420.0152838947583,0.07838034629821777,48
1061.8609128482299,0.07934880256652832,49
1336.9594023916004,0.08597540855407715,50
1267.9192577200652,0.09384536743164062,51
1224.5600772800824,0.07552433013916016,52
1288.8912773221668,0.08267617225646973,53
1517.6318964592126,0.07906508445739746,54
1203.6132698153028,0.12218689918518066,55
1304.8830067208662,0.1027669906616211,56
1214.225543216528,0.12660551071166992,57
1340.85831706722,0.08760905265808105,58
1085.1907584527921,0.10841608047485352,59
1206.585388520611,0.09580874443054199,60
1023.5098922130335,0.1256086826324463,61
1139.899820973051,0.14447593688964844,62
1259.9977323507267,0.1067497730255127,63
1108.6352748606948,0.17659306526184082,64
1174.3551370936948,0.11461234092712402,65
1043.8580896136584,0.1103830337524414,66
1232.0170536080782,0.12695050239562988,67
1175.1634840829322,0.13056516647338867,68
1471.6677015540033,0.08788442611694336,69
1196.2742470408914,0.13244032859802246,70
1283.1960409255287,0.0805513858795166,71
1237.1952549710518,0.10193014144897461,72
1241.4762749346924,0.12543869018554688,73
1144.3958754496234,0.17492055892944336,74
1084.6780518087264,0.09007835388183594,75
1113.790773858516,0.14101195335388184,76
1047.337067135914,0.14437627792358398,77
1023.8724759075162,0.12741732597351074,78
1283.0669403060272,0.08537983894348145,79
943.0251299462104,0.1267225742340088,80
1253.9954653955483,0.09434175491333008,81
1250.3933746089679,0.1204063892364502,82
1179.9212085140468,0.14818620681762695,83
1102.1929140120576,0.1753840446472168,84
1033.2115993328555,0.10770010948181152,85
1376.597303231461,0.07948803901672363,86
1098.1632204552695,0.2540605068206787,87
1268.5052407896985,0.16528844833374023,88
1254.5095064326285,0.13585591316223145,89
1096.806480187046,0.11655211448669434,90
1098.8690344166155,0.15694308280944824,91
996.6474880620553,0.18489837646484375,92
1042.0521599458832,0.11614084243774414,93
1144.1346060157694,0.18123078346252441,94
1083.5532326991583,0.1646735668182373,95
1114.4037708329847,0.16782212257385254,96
1164.3420905633648,0.0970296859741211,97
1059.2156586371705,0.1802525520324707,98
1104.951113432656,0.15242457389831543,99
1289.6935448619574,0.09257936477661133,100
1067.0047761265757,0.12410950660705566,101
1066.4634214191044,0.19165420532226562,102
1127.3508544196216,0.16804003715515137,103
1205.6702133945903,0.14638400077819824,104
1211.6524444100903,0.0978860855102539,105
1165.0970657547214,0.1321544647216797,106
1252.3947967169217,0.11798906326293945,107
1319.972730701317,0.094024658203125,108
1062.1017289999772,0.2027297019958496,109
1271.667890599396,0.1137399673461914,110
1007.6747001927131,0.2552013397216797,111
1133.9255818321565,0.16460323333740234,112
1170.4212738850322,0.11934876441955566,113
966.277701055111,0.26656532287597656,114
1043.2747206664646,0.14168810844421387,115
1027.4466980621025,0.2625577449798584,116
1193.0141383693888,0.1182856559753418,117
1033.2857431454613,0.2709178924560547,118
1007.0358201611879,0.22441816329956055,119
1081.451904396171,0.14860892295837402,120
1101.2043596867434,0.12459039688110352,121
1030.8953591247882,0.22011566162109375,122
1195.0822921929437,0.1221771240234375,123
1014.2196684652347,0.18859601020812988,124
1010.2347356024928,0.1595442295074463,125
1167.301119703872,0.17228436470031738,126
1094.4605714625156,0.24338579177856445,127
1075.1504198153489,0.15660977363586426,128
1038.1870609368582,0.21708941459655762,129
1213.1593795076535,0.12681937217712402,130
1145.4665944521553,0.12282156944274902,131
1107.1092597471397,0.20174455642700195,132
1162.058956460846,0.20175743103027344,133
1075.488139240893,0.26167941093444824,134
1058.1258170108958,0.1508035659790039,135
1190.9472184299113,0.1704261302947998,136
1086.215727377164,0.216050386428833,137
1004.920207531984,0.201462984085083,138
976.3959907612774,0.2462458610534668,139
985.7345032019,0.2909862995147705,140
1158.9273987770946,0.15588021278381348,141
1157.87988786856,0.1515195369720459,142
1008.2986875221418,0.22400379180908203,143
1021.9305806568657,0.19850635528564453,144
1127.438034257011,0.1325383186340332,145
1000.379386657356,0.19627618789672852,146
1072.972741925064,0.24622726440429688,147
990.8498733034673,0.23377656936645508,148
1140.1155999652983,0.14357900619506836,149
1063.6809883243097,0.21663951873779297,150
1138.5528062999924,0.19602680206298828,151
1166.0058580038683,0.16200590133666992,152
1157.2957536839176,0.14475655555725098,153
1079.314312026737,0.17443370819091797,154
991.7956177515097,0.2482619285583496,155
1058.795353827768,0.2428302764892578,156
1180.162386772438,0.16376948356628418,157
1022.7569405369038,0.19863677024841309,158
1016.4952697139711,0.2047567367553711,159
1219.1209125786393,0.16968560218811035,160
1016.9125828151869,0.2445693016052246,161
1145.67142819765,0.18707823753356934,162
1059.8921940533994,0.23461580276489258,163
1034.307696734412,0.2530210018157959,164
1031.942363217286,0.18746614456176758,165
904.1089415626898,0.2464580535888672,166
1236.6464415998742,0.13959622383117676,167
1090.2246472810787,0.1242060661315918,168
1087.4975511618456,0.19971179962158203,169
1110.1488678755302,0.2222437858581543,170
1203.9867743241716,0.16768288612365723,171
1118.380055898111,0.2529573440551758,172
1237.0313228647867,0.12839937210083008,173
1016.3365003728962,0.2642521858215332,174
1151.1168649340595,0.16056466102600098,175
1044.0367559463,0.2083725929260254,176
1012.1343619376266,0.3590812683105469,177
1147.9462341649853,0.12639784812927246,178
993.9804226837352,0.2617824077606201,179
